UnitName,Power_dyn,Power_leak
T0_Unit_0_34,0.0002057426730937546,5.4864712825001223e-05
T0_Unit_0_35,0.0003551041122557422,9.469442993486458e-05
T0_Unit_0_36,0.0001937956166687282,5.167883111166086e-05
T0_Unit_0_37,0.0002931157414300467,7.81641977146791e-05
T0_Unit_0_38,1.0677167081969872e-05,2.8472445551919656e-06
T0_Unit_0_39,9.834403671843841e-05,2.622507645825024e-05
T0_Unit_0_40,0.00018285464483245662,4.876123862198842e-05
T0_Unit_0_41,3.0410145918430627e-05,8.109372244914832e-06
T0_Unit_0_42,7.94327404443349e-05,2.1182064118489308e-05
T0_Unit_0_43,0.00010919386864969468,2.911836497325191e-05
T0_Unit_0_44,0.00025582874137187637,6.822099769916702e-05
T0_Unit_0_45,0.00025475651845478873,6.793507158794365e-05
T0_Unit_0_46,7.867955151336118e-05,2.0981213736896313e-05
T0_Unit_0_47,0.00021672325217152562,5.7792867245740165e-05
T0_Unit_0_48,0.00011682751651347961,3.115400440359456e-05
T0_Unit_0_49,6.79687404674622e-05,1.8124997457989924e-05
T0_Unit_1_0,5.80547413115788e-05,1.5481264349754346e-05
T0_Unit_1_1,0.000105848032542903,2.82261420114408e-05
T0_Unit_1_2,6.240788719900461e-05,1.6642103253067897e-05
T0_Unit_1_3,0.00017140047562869232,4.570679350098462e-05
T0_Unit_1_4,6.37517883852223e-05,1.7000476902725945e-05
T0_Unit_1_5,5.397688712971655e-05,1.4393836567924413e-05
T0_Unit_1_6,0.00027105938656835836,7.228250308489556e-05
T0_Unit_1_7,0.00022033601847044854,5.8756271592119594e-05
T0_Unit_1_8,0.00022789179461704648,6.077114523121238e-05
T0_Unit_1_9,0.0002810394063036135,7.494384168096359e-05
T0_Unit_1_10,0.00032278557248589226,8.60761526629046e-05
T0_Unit_1_11,0.0001476236297867424,3.936630127646464e-05
T0_Unit_1_12,0.00029231614996633794,7.795097332435678e-05
T0_Unit_1_13,0.0001351494739902217,3.6039859730725784e-05
T0_Unit_1_14,0.00029591579507227543,7.891087868594012e-05
T0_Unit_1_15,0.00036572662445054073,9.752709985347753e-05
T0_Unit_1_16,0.0004365007409579605,0.00011640019758878947
T0_Unit_1_17,0.0001705221799619949,4.547258132319863e-05
